Time,Latency,Carbon
0,15.2,0.0245
1,18.7,0.0221
2,22.1,0.0198
3,16.8,0.0267
4,19.3,0.0234
5,21.5,0.0189
6,17.9,0.0256
7,20.4,0.0201
8,14.6,0.0278
9,23.8,0.0165
10,18.1,0.0243
11,16.5,0.0289
12,25.2,0.0156
13,19.7,0.0224
14,17.3,0.0267
15,21.9,0.0178
16,15.8,0.0291
17,24.1,0.0167
18,18.9,0.0238
19,20.7,0.0195
20,16.2,0.0284
21,22.5,0.0172
22,19.1,0.0249
23,17.6,0.0271
24,23.3,0.0158
25,15.4,0.0296
26,21.8,0.0181
27,18.5,0.0253
28,20.2,0.0207
29,16.9,0.0275
30,24.7,0.0162
31,17.8,0.0268
32,19.6,0.0228
33,22.3,0.0174
34,15.1,0.0299
35,21.4,0.0185
36,18.3,0.0261
37,20.9,0.0194
38,16.7,0.0282
39,23.6,0.0169
40,19.4,0.0241
41,17.1,0.0274
42,25.1,0.0159
43,15.9,0.0287
44,22.7,0.0176
45,18.8,0.0248
46,20.5,0.0203
47,16.4,0.0279
48,24.2,0.0164
49,19.2,0.0236
